Fighters Name,Weight (lbs),Height (cm),Reach (cm),SLpM,Str.Acc,SApM,Str.Def,Td.Avg,Td.Acc,Td.Def,Avg.Sub,W.KO,W.Sub,W.Dec,L.Sub,L.Dec,L.KO,KD.Ratio,Str.Stand,Str.Clinch,Str.Ground,Str.Head,Str.Body,Str.Leg,Avg.Fight Time,Type
Sam Alvey ,205,188,192,3.05,0.45,3.2,0.56,0.09,0.17,0.83,0.09,0.58,0.09,0.33,0.08,0.69,0.23,0.62,0.7,0.25,0.05,0.65,0.18,0.17,09:26:00,Striker
Adlan Amagov,170,188,193,2.94,0.42,1.06,0.79,5,0.55,1,0,0.62,0,0.38,0.5,0,0.5,0.83,0.55,0.28,0.17,0.42,0.15,0.43,09:00:00,Grappler
Makwan Amirkhani,145,178,183,1.75,0.5,1.6,0.6,3.84,0.48,0.57,1.6,0.07,0.67,0.27,0.25,0.5,0.25,0.32,0.46,0,0.54,0.94,0.05,0.01,09:22:00,Grappler
Jessica Andrade,115,156,157.5,6.58,0.52,5.04,0.52,3.2,0.59,0.75,0.48,0.35,0.35,0.3,0.29,0.29,0.42,0.19,0.6,0.22,0.18,0.69,0.25,0.06,11:04:00,MMA
Magomed Ankalaev,205,191,191,3.05,0.53,1.33,0.67,0.45,0.33,0.83,0,0.45,0,0.55,1,0,0,0.91,0.46,0.16,0.39,0.67,0.26,0.07,11:03:00,MMA
Nina Ansaroff,115,165,163,5.09,0.47,3.31,0.56,0.34,0.4,0.81,0.68,0.4,0.2,0.4,0.17,0.83,0,0,0.85,0.1,0.05,0.57,0.16,0.27,14:47:00,Striker
Gadzhimurad Antigulov,205,180,179,1.78,0.54,5.45,0.22,9.51,0.5,0,3.81,0.2,0.75,0.05,0.33,0,0.67,0,0.08,0.64,0.29,0.64,0.21,0.14,02:38:00,Grappler
Viviane Arujo,125,163,173,4.51,0.48,5.2,0.55,2.57,0.58,1,0.9,0.38,0.5,0.13,0,0.5,0.5,0.37,0.93,0.02,0.05,0.68,0.15,0.17,13:36:00,MMA
Julio Arce,145,170,178,3.73,0.32,2.89,0.68,0.35,0.17,0.94,1.05,0.25,0.31,0.44,0.25,0.75,0,0,0.85,0.11,0.04,0.71,0.26,0.03,14:18:00,MMA
Andrei Arlovski,240,191,196,3.08,0.42,3,0.59,0.56,0.36,0.79,0.31,0.61,0.11,0.28,0.05,0.37,0.58,0.62,0.76,0.18,0.06,0.57,0.17,0.26,08:41:00,Striker
Austin Arnett,145,183,183,3.32,0.47,8.22,0.63,0.77,0.18,0.4,0.7,0.44,0.31,0.25,0.14,0.72,0.14,0.32,0.72,0.14,0.14,0.73,0.26,0.01,12:56:00,MMA
Cyril Asker,242,183,188,3.35,0.39,5.82,0.36,4.41,0.63,1,0.88,0.44,0.33,0.23,0.25,0,0.75,0,0.35,0.07,0.58,0.89,0.11,0,03:24:00,MMA
Raphael Assuncao,135,166,169,3.34,0.4,2.24,0.7,1.38,0.36,0.8,0.31,0.15,0.37,0.48,0.29,0.57,0.14,0.19,0.8,0.1,0.1,0.55,0.15,0.3,12:34:00,MMA
Oliver Aubin-Mercier,155,175,179,2.59,0.52,2.95,0.56,2.63,0.35,0.65,0.57,0.08,0.75,0.16,0,1,0,0.23,0.72,0.16,0.11,0.69,0.21,0.11,11:56:00,Grappler
Siyar Bahadurzada,170,180,184,3.33,0.46,2.96,0.5,1.58,0.62,0.69,0.4,0.58,0.25,0.17,0.25,0.75,0,0.99,0.47,0.23,0.3,0.72,0.21,0.08,10:49:00,MMA
Ali Bagutinov,125,163,165,2.85,0.42,3.09,0.52,2.51,0.37,0.65,0.26,0.36,0.29,0.35,0,0.83,0.17,0.26,0.51,0.2,0.29,0.56,0.32,0.11,16:13:00,Grappler
Renan Barao,135,168,178,3.72,0.37,3.83,0.58,1.46,0.45,0.91,0.57,0.22,0.42,0.36,0,0.67,0.33,0.25,0.82,0.13,0.05,0.59,0.23,0.18,13:09:00,MMA
Maycee Barber,125,165,165,8.18,0.59,7.85,0.47,1,0.2,1,0.1,0.63,0.25,0.13,0,1,0,0,0.48,0.33,0.19,0.65,0.18,0.17,07:31:00,Striker
Bryan Barbarena,170,183,184,5.9,0.49,4.76,0.45,0.29,0.33,0.47,0.29,0.71,0.15,0.14,0.14,0.57,0.29,0.88,0.7,0.19,0.11,0.72,0.12,0.16,11:22:00,Striker
Edson Barboza,155,180,191,4.01,0.43,4.18,0.6,0.46,0.47,0.8,0.07,0.6,0.05,0.35,0.25,0.37,0.38,0.65,0.94,0.03,0.03,0.43,0.29,0.28,10:58:00,Striker
Raoni Barcelos,135,171,170,4.79,0.5,4.46,0.65,2.31,0.58,0.83,0.66,0.53,0.13,0.34,1,0,0,0.66,0.57,0.06,0.37,0.81,0.07,0.12,11:23:00,MMA
Seth Baczynski,170,191,188,3.08,0.32,3.14,0.51,0.89,0.17,0.48,0.75,0.41,0.5,0.09,0.35,0.35,0.3,0.3,0.67,0.21,0.12,0.66,0.23,0.11,09:09:00,MMA
Luke Barnatt,185,198,196,4.43,0.36,3.87,0.59,0.63,0.43,0.64,0.42,0.6,0.13,0.27,0.13,0.63,0.24,0.42,0.81,0.15,0.04,0.69,0.21,0.1,11:56:00,MMA
Josh Barnett,250,191,191,4.27,0.62,5.75,0.57,0.82,0.63,0.56,0.82,0.29,0.54,0.17,0.13,0.37,0.5,0.16,0.34,0.44,0.22,0.63,0.3,0.07,09:11:00,Grappler
Chris Beal,135,170,175,3.45,0.36,3.18,0.62,1.6,0.58,0.78,0.23,0.3,0,0.7,0.17,0.5,0.33,0.23,0.65,0.13,0.22,0.85,0.12,0.03,13:06:00,MMA
Mirsad Bektic,145,173,178,2.59,0.41,1.89,0.58,3.32,0.48,0.92,0.5,0.54,0.15,0.31,0,0.33,0.67,0.33,0.43,0.11,0.46,0.84,0.12,0.04,10:03:00,Grappler
Alan Belcher,185,188,191,2.7,0.42,3.1,0.6,0.44,0.27,0.55,0.87,0.5,0.39,0.11,0.13,0.63,0.24,0.33,0.68,0.16,0.17,0.57,0.16,0.27,09:11:00,MMA
Vitor Belfort,185,183,188,1.81,0.46,4.85,0.51,0.35,0.75,0.54,0.58,0.69,0.12,0.19,0.14,0.36,0.5,0.93,0.49,0.22,0.29,0.77,0.14,0.09,06:25:00,Striker
Joseph Benavidez,125,163,165,3.45,0.34,2.54,0.63,1.45,0.3,0.66,0.6,0.29,0.32,0.39,0,0.67,0.33,0.4,0.79,0.12,0.09,0.54,0.26,0.2,12:02:00,MMA
Ryan Benoit,125,165,174,2.38,0.36,3.2,0.6,0.24,0.2,0.63,0.24,0.8,0.1,0.1,0.33,0.67,0,0.98,0.78,0.08,0.12,0.8,0.12,0.08,10:13:00,Striker
Dennis Bermudez,145,168,168,4.42,0.46,3.07,0.59,3.89,0.4,0.83,1.07,0.24,0.24,0.52,0.44,0.33,0.22,0.38,0.53,0.18,0.29,0.67,0.15,0.18,11:35:00,MMA
Arjan Bhullar,245,185,192,2.16,0.53,2.38,0.61,1.62,0.67,1,0,0.38,0,0.62,0,1,0,0.41,0.56,0.23,0.21,0.9,0.06,0.04,12:20:00,Grappler
Brad Blackburn,170,178,185,4.55,0.36,3.59,0.65,0.93,0.5,0.77,0.7,0.5,0.22,0.28,0.08,0.67,0.25,1.16,0.87,0.05,0.08,0.62,0.15,0.23,12:55:00,Striker
Anthony Birchak,135,173,175,3.98,0.35,2.26,0.66,0.68,0.17,0.83,1.5,0.31,0.46,0.23,0.33,0.47,0.2,1.36,0.67,0.24,0.09,0.53,0.26,0.2,05:31:00,MMA
Jan Blachowicz,205,188,198,3.45,0.49,2.77,0.54,1.16,0.52,0.66,0.27,0.27,0.35,0.38,0.13,0.63,0.24,0.45,0.71,0.15,0.14,0.66,0.22,0.12,12:01:00,MMA
Curtis Blaydes,265,193,203,3.71,0.51,2.03,0.55,6.79,0.57,0.25,0,0.75,0,0.25,0,0,1,0.17,0.36,0.17,0.47,0.7,0.14,0.16,09:49:00,Grappler
Kyle Bochniak,145,170,178,2.6,0.32,4.73,0.59,1.17,0.19,0.63,0.6,0.25,0.25,0.5,0,1,0,0.17,0.9,0.08,0.02,0.66,0.13,0.21,15:00:00,MMA
Tim Boetsch,185,183,188,2.93,0.51,2.9,0.57,1.45,0.34,0.59,0.76,0.62,0.14,0.24,0.38,0.31,0.31,0.48,0.63,0.25,0.12,0.57,0.25,0.17,09:02:00,MMA
Stephan Bonnar,205,193,203,2.65,0.4,3.35,0.52,1.47,0.41,0.52,1.12,0.2,0.47,0.33,0,0.67,0.33,0.17,0.43,0.32,0.25,0.71,0.19,0.1,11:34:00,Grappler
